,Benzoic acids,,,,Phenylacetic acids,,,Propanoic acids,,,Cinnamic acids,,Others,
,3-Hydroxybenzoic acid,4-Hydroxybenzoic acid,"3,4-Dihydroxybenzoic acid ",Benzoic acid,4′-Hydroxyphenylacetic acid ,2-Hydroxy-2-(3’-hydroxyphenyl)acetic acid ,3’-Hydroxy-4’-methoxyphenylacetic acid ,"3-(3′,4′-Dihydroxyphenyl)propanoic acid ",3-(3′-Hydroxyphenyl)propanoic acid ,2-Hydroxy-3-(4’-hydroxyphenyl)propanoic acid,"3’,4’-Dihydroxycinnamic acid ","4’-Hydroxy-3’,5’-dimethoxycinnamic acid ",4-Hydroxybenzaldehyde ,"1,2,3-Trihydroxybenzene"
SAMPLE,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g,mg/g
V2_001,0.000,0.200,0.304,0.048,0.000,0.031,0.901,0.000,0.197,0.000,0.000,0.026,0.273,0.000
V2_003,0.000,0.283,0.062,0.010,0.000,0.006,0.419,0.030,5.948,0.000,0.000,0.000,0.000,0.126
V2_005,0.692,0.000,0.317,0.064,0.000,0.016,1.143,0.052,0.897,0.000,0.862,0.000,0.093,0.000
V2_007,0.000,0.360,0.191,0.047,0.000,0.039,1.953,0.046,1.107,0.049,0.657,0.034,0.058,0.000
V2_008,0.703,0.952,0.541,0.078,0.000,0.091,0.929,0.000,0.725,0.000,0.239,0.059,0.213,0.286
V2_011,3.775,0.290,0.271,0.064,0.000,0.064,2.080,0.148,1.824,0.068,0.512,0.028,0.159,0.169
V2_014,1.309,0.652,0.251,0.065,0.000,0.092,0.436,0.294,1.017,0.000,0.391,0.043,0.244,0.253
V2_016,3.590,0.346,0.487,0.016,0.000,0.014,1.160,0.000,0.895,0.000,0.318,0.011,0.422,0.000
V2_017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000
V2_019,0.000,0.156,0.078,0.018,0.000,0.011,0.539,0.000,11.363,0.000,0.151,0.000,0.000,0.488
V2_021,0.109,0.082,0.128,0.011,0.000,0.005,0.286,0.000,0.066,0.000,0.000,0.019,0.006,0.000
V2_022,0.470,0.060,0.028,0.017,0.000,0.006,1.414,0.000,0.163,0.000,0.000,0.011,0.061,0.084
V2_024,0.000,0.071,0.317,0.079,0.000,0.000,0.458,0.000,0.263,0.000,0.126,0.000,0.127,0.130
V2_027,0.000,0.101,0.109,0.012,0.000,0.011,0.000,0.000,0.256,0.000,0.099,0.062,0.042,0.000
V2_028,0.000,9.429,0.540,0.095,0.026,0.048,1.430,1.333,13.701,0.000,0.186,0.020,0.056,0.250
V2_031,0.000,0.078,0.376,0.008,0.000,0.000,0.521,0.038,0.177,0.000,0.000,0.014,0.201,0.000
V2_033,0.000,1.746,0.055,0.046,0.000,0.019,0.369,0.000,1.640,0.000,0.067,0.000,0.074,0.000
V2_035,0.000,12.417,1.818,0.037,0.000,0.044,2.644,0.330,35.787,0.103,0.258,0.052,0.125,0.325
V2_036,1.168,0.301,3.375,0.093,0.000,0.029,0.000,0.000,76.511,0.131,1.282,0.156,0.182,0.310
V2_037,1.018,0.412,0.340,0.044,0.000,0.011,1.004,0.000,0.475,0.000,0.182,0.010,0.295,0.000
V2_038,0.000,0.000,0.038,0.007,0.000,0.000,1.083,0.000,0.089,0.000,0.117,0.009,0.197,0.000
V2_039,0.000,0.000,0.302,0.081,0.000,0.025,2.098,0.000,0.217,0.000,0.309,0.016,0.313,0.345
V2_040,0.000,0.059,0.312,0.015,0.000,0.025,0.325,0.000,0.362,0.000,0.000,0.061,0.290,0.244
V2_041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
V2_042,1.340,0.000,0.043,0.007,0.000,0.000,0.943,0.000,0.155,0.000,0.000,0.010,0.120,0.000
V2_043,0.896,1.020,0.964,0.009,0.000,0.031,2.220,0.301,9.889,0.100,1.658,0.022,0.153,0.000
V2_044,0.000,0.116,0.050,0.006,0.000,0.000,0.000,0.014,0.537,0.000,0.000,0.000,0.000,0.000
V2_046,0.386,0.117,0.203,0.059,0.000,0.014,0.000,0.000,0.394,0.000,0.000,0.011,0.097,0.000
V2_052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
V2_054,0.000,0.000,0.345,0.067,0.000,0.010,0.500,0.000,0.297,0.000,0.568,0.025,0.160,0.113
V2_057,0.457,0.202,0.131,0.051,0.000,0.037,0.640,0.000,0.715,0.057,0.146,0.017,0.199,0.346
V2_058,0.000,0.000,0.166,0.063,0.000,0.009,2.034,0.000,0.261,0.174,0.607,0.027,0.978,0.439
V2_059,0.000,0.044,0.000,0.004,0.000,0.000,0.385,0.000,0.118,0.000,0.218,0.011,0.067,0.000
V2_060,0.000,0.000,0.079,0.029,0.000,0.006,0.000,0.000,0.074,0.000,0.083,0.000,0.059,0.000
V2_061,0.000,0.000,0.100,0.030,0.000,0.000,0.323,0.000,0.242,0.000,0.000,0.000,0.092,0.000
V2_063,0.000,0.178,0.158,0.023,0.000,0.006,0.000,0.000,0.554,0.152,0.474,0.000,0.136,0.146
V2_069,0.744,0.370,0.207,0.053,0.000,0.024,1.123,0.000,0.825,0.000,0.169,0.034,0.128,0.000
V2_071,0.000,0.351,0.184,0.044,0.000,0.020,0.000,0.000,0.346,0.070,0.000,0.032,0.152,0.722
V2_072,0.000,0.067,0.172,0.072,0.000,0.012,0.469,0.000,0.222,0.000,0.000,0.035,0.000,0.000
V2_080,0.000,0.744,0.074,0.023,0.000,0.007,0.487,0.056,16.596,0.021,0.000,0.010,0.000,0.137
V2_081,1.005,0.147,0.218,0.044,0.000,0.054,0.773,0.014,0.160,0.000,0.000,0.023,0.346,0.000
V2_084,0.000,1.225,0.694,0.073,0.000,0.021,0.948,0.072,1.101,0.000,0.230,0.115,0.106,0.000
V2_085,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000
V2_086,0.809,4.670,0.412,0.025,0.000,0.044,1.135,0.217,6.171,0.000,1.364,0.036,0.093,0.000
V2_087,0.000,0.155,0.206,0.046,0.000,0.012,0.431,0.000,0.297,0.039,0.085,0.016,0.039,0.000
V2_088,0.342,0.292,0.365,0.139,0.000,0.082,1.493,0.219,12.829,0.000,0.188,0.135,0.233,0.000
V2_090,0.000,0.066,0.079,0.056,0.000,0.000,0.000,0.000,0.584,0.000,0.176,0.011,0.154,0.000
V2_093,0.000,0.262,0.060,0.000,0.000,0.003,0.225,0.000,1.160,0.000,0.097,0.000,0.000,0.000
V2_098,0.325,0.971,0.283,0.080,0.023,0.039,0.932,0.030,4.223,0.000,0.260,0.017,0.327,0.000
V2_100,0.728,2.698,0.436,0.103,0.038,0.169,1.539,0.481,19.740,0.074,0.359,0.031,0.103,0.000
V2_101,0.899,0.108,0.371,0.066,0.000,0.020,0.512,0.000,0.707,0.000,0.202,0.016,0.097,0.000
V2_103,0.721,0.531,0.194,0.043,0.000,0.058,2.374,0.043,1.108,0.000,0.113,0.000,0.061,0.622
V2_105,5.781,0.184,0.193,0.028,0.000,0.015,0.000,0.121,1.277,0.000,0.985,0.020,0.124,0.000
V2_108,0.000,0.332,0.130,0.016,0.000,0.006,0.000,0.000,0.184,0.000,0.074,0.022,0.000,0.000
V2_109,4.910,0.478,0.645,0.487,0.000,0.005,2.733,0.000,1.116,0.000,0.286,0.018,0.243,0.000
V2_112,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.012,0.281,0.000,0.000,0.000,0.000,0.000
V2_113,3.355,4.751,0.553,0.023,0.134,0.107,1.939,0.637,101.378,0.307,2.104,0.022,0.443,0.000
V2_114,0.605,3.564,1.465,0.037,0.103,0.048,0.931,2.509,7.033,0.000,22.481,0.045,0.224,0.000
V2_116,0.000,0.101,0.320,0.030,0.000,0.000,2.079,0.000,0.694,0.029,0.037,0.027,0.213,0.000
V2_117,0.000,4.106,0.396,0.054,0.103,0.023,1.102,0.000,31.212,0.192,0.054,0.025,0.072,0.160
V2_118,0.000,0.000,0.194,0.071,0.000,0.000,0.520,0.000,0.126,0.000,0.000,0.014,0.120,0.069
V3_003,2.123,17.843,1.261,0.027,0.081,0.062,2.039,0.684,23.510,0.098,0.068,0.080,0.104,8.537
V3_005,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.051,0.000,0.000,0.000,0.048,0.081
V3_008,0.158,0.480,0.286,0.088,0.000,0.144,0.499,0.000,0.257,0.000,0.961,0.056,0.342,0.249
V3_011,0.000,1.686,1.394,0.060,0.000,0.027,1.053,0.000,5.883,0.000,0.000,0.083,0.444,0.093
V3_014,0.000,0.000,0.123,0.000,0.000,0.000,0.000,0.000,0.256,0.000,0.000,0.000,0.000,0.000
V3_016,1.588,0.219,0.834,0.008,0.000,0.000,1.366,0.000,0.523,0.000,0.180,0.074,2.547,0.263
V3_017,0.352,0.638,1.449,0.032,0.056,0.064,0.610,0.000,2.510,0.000,0.523,0.243,0.402,0.000
V3_033,0.000,0.719,0.052,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.021,0.143,0.000
V3_036,0.364,0.552,0.226,0.008,0.000,0.031,2.082,0.167,45.532,0.000,0.661,0.103,0.122,0.000
V3_037,0.000,0.443,1.186,0.033,0.000,0.017,0.742,0.028,1.969,0.000,0.305,0.043,1.233,0.277
V3_038,0.000,0.258,0.509,0.008,0.000,0.006,0.000,0.014,0.372,0.000,0.195,0.000,0.631,0.000
V3_039,0.000,0.197,0.575,0.022,0.000,0.049,0.416,0.115,2.754,0.110,0.363,0.051,0.390,1.046
V3_042,1.854,0.627,0.607,0.011,0.000,0.009,1.781,0.004,0.280,0.000,0.181,0.330,3.353,0.000
V3_043,0.999,1.912,0.576,0.013,0.000,0.026,0.523,0.313,12.741,0.000,0.210,0.054,0.507,0.319
V3_052,0.000,0.350,0.337,0.016,0.041,0.084,0.000,0.058,0.249,0.000,0.157,0.034,0.072,0.000
V3_054,0.000,0.103,0.334,0.007,0.000,0.008,0.330,0.000,0.162,0.000,0.088,0.037,0.589,0.098
V3_058,0.000,0.154,0.854,0.000,0.000,0.010,0.363,0.000,0.088,0.081,0.000,0.026,0.931,0.187
V3_059,0.000,0.107,0.577,0.008,0.000,0.000,0.466,0.000,0.392,0.000,0.064,0.023,0.862,0.000
V3_060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
V3_061,0.228,0.283,0.257,0.016,0.000,0.015,0.000,0.025,0.580,0.000,0.231,0.144,0.657,0.000
V3_063,0.000,0.179,0.327,0.011,0.000,0.004,0.412,0.010,0.516,0.000,0.241,0.013,0.252,0.000
V3_069,0.000,0.569,0.404,0.015,0.000,0.008,3.410,0.029,0.514,0.316,0.172,0.017,1.262,0.000
V3_072,0.754,0.471,0.350,0.017,0.000,0.016,0.000,0.000,0.379,0.000,0.145,0.064,0.437,0.000
V3_087,0.000,0.100,0.032,0.002,0.000,0.002,0.000,0.000,0.026,0.000,0.000,0.000,0.047,0.000
V3_101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000
V3_103,0.000,0.000,0.539,0.010,0.000,0.012,0.000,0.000,0.475,0.000,0.000,0.018,0.448,0.000
V3_105,0.000,1.118,0.175,0.000,0.000,0.016,0.000,0.000,0.100,0.000,0.116,0.007,0.148,0.000
V3_108,2.035,0.402,0.707,0.013,0.000,0.000,0.530,0.000,3.068,0.000,0.114,0.055,0.284,0.432
V3_109,0.546,0.416,0.709,0.028,0.000,0.049,0.000,0.000,0.459,0.000,0.000,0.050,0.597,0.000
V3_113,0.932,0.461,0.436,0.061,0.000,0.000,1.243,0.000,0.357,0.000,0.401,0.022,0.846,0.000
V3_090,0.504,3.186,0.558,0.004,0.071,0.037,0.187,0.088,20.367,0.038,0.127,0.070,0.452,0.000
V4_003,0.673,0.827,0.277,0.016,0.055,0.045,3.528,0.246,1.634,0.088,0.696,0.029,0.100,0.230
V4_005,0.367,0.144,0.222,0.000,0.000,0.039,0.795,0.000,0.508,0.000,0.268,0.022,0.260,0.699
V4_008,0.563,3.093,0.423,0.038,0.000,0.091,0.875,0.000,1.321,0.000,2.247,0.114,0.199,0.189
V4_011,0.721,1.589,0.669,0.060,0.000,0.029,4.688,0.196,1.166,0.053,0.786,0.099,0.137,0.000
V4_014,0.818,0.284,0.225,0.007,0.000,0.035,1.522,0.132,0.366,0.000,0.463,0.020,0.189,0.644
V4_016,3.728,0.323,0.636,0.016,0.000,0.000,3.644,0.000,0.653,0.000,1.133,0.043,0.240,0.000
V4_017,0.293,2.104,0.473,0.010,0.094,0.065,0.616,0.920,3.988,0.000,0.742,0.095,0.092,0.366
V4_033,0.000,2.268,0.196,0.006,0.000,0.031,0.919,0.100,1.095,0.000,0.313,0.013,0.564,0.000
V4_036,0.000,0.457,0.588,0.013,0.000,0.043,2.361,0.552,41.117,0.270,1.562,0.065,0.390,0.588
V4_037,0.927,0.531,1.025,0.022,0.000,0.030,0.464,0.552,6.561,0.126,0.524,0.055,0.228,0.522
V4_038,0.000,0.059,0.051,0.000,0.000,0.000,0.285,0.000,0.445,0.095,0.160,0.012,0.079,0.000
V4_039,0.341,0.100,0.307,0.005,0.000,0.012,0.000,0.015,0.192,0.027,0.545,0.021,0.084,0.239
V4_042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
V4_043,1.223,6.340,1.340,0.016,0.000,0.092,0.885,0.315,117.393,0.269,1.936,0.031,0.067,0.319
V4_052,0.000,0.275,0.338,0.018,0.000,0.086,2.434,0.216,2.308,0.000,1.858,0.025,0.148,0.394
V4_054,0.384,0.000,0.305,0.008,0.000,0.000,0.780,0.024,1.342,0.000,0.215,0.009,0.097,0.190
V4_058,1.168,0.162,0.238,0.023,0.000,0.000,3.548,0.019,0.709,0.000,0.261,0.022,0.272,0.000
V4_059,0.684,0.133,0.213,0.009,0.000,0.008,0.508,0.065,0.421,0.000,0.887,0.025,0.477,0.147
V4_060,0.565,0.864,0.791,0.009,0.000,0.000,0.000,0.000,0.294,0.000,0.664,0.010,0.607,0.000
V4_061,0.520,1.362,0.558,0.011,0.000,0.017,0.000,0.000,1.197,0.000,0.445,0.034,0.437,0.000
V4_063,0.000,0.043,0.194,0.000,0.000,0.013,0.000,0.013,0.598,0.059,0.205,0.016,0.049,0.000
V4_069,0.000,0.230,0.574,0.030,0.000,0.000,0.000,0.000,0.469,0.000,0.436,0.013,0.158,0.000
V4_072,0.817,0.863,0.388,0.024,0.068,0.023,0.400,0.067,0.523,0.000,0.456,0.067,0.166,0.000
V4_087,0.686,0.968,0.424,0.021,0.000,0.027,0.591,0.000,0.695,0.000,0.379,0.027,0.165,0.168
V4_090,0.802,0.171,0.107,0.010,0.000,0.015,0.000,0.000,0.235,0.000,0.468,0.012,0.379,0.115
V4_101,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.045,0.000
V4_103,0.000,0.237,0.234,0.000,0.000,0.052,0.000,0.063,0.430,0.000,0.180,0.022,0.125,0.000
V4_105,3.518,0.193,0.360,0.027,0.000,0.004,0.000,0.229,0.483,0.000,0.264,0.028,0.145,0.111
V4_108,0.452,2.372,0.624,0.061,0.000,0.028,1.823,0.061,0.293,0.000,0.446,0.020,0.187,0.000
V4_109,0.663,0.367,0.355,0.035,0.000,0.000,1.007,0.088,0.825,0.136,0.595,0.036,0.461,1.411
V4_113,1.014,7.854,0.950,0.016,0.296,0.209,1.341,0.303,90.973,0.242,1.231,0.022,0.528,0.239


Mean all,0.565,1.005,0.400,0.032,0.010,0.026,0.822,0.103,6.334,0.029,0.526,0.034,0.276,0.194
Mean V2,0.592,0.917,0.333,0.048,0.007,0.024,0.819,0.115,6.170,0.026,0.636,0.024,0.144,0.094
Mean V3,0.401,1.080,0.506,0.017,0.008,0.023,0.582,0.049,4.015,0.021,0.178,0.055,0.586,0.374
Mean V4,0.675,1.104,0.424,0.016,0.017,0.032,1.065,0.135,8.977,0.044,0.657,0.032,0.228,0.212
